full_name,id_Player,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Joe Gomez,Joe-864,23,864345600,35573,Premier League,2018/2019,Defender,Liverpool,1060,493,567,England,16,8,8,0,0,0,0,0,0,0,0,11,8,3,3,0,3,2,0,0,0,0,0,0,0,0.25,353,66,530,0,0.17,407,398,1,19
Joe Hart,Joe-545,33,545788800,31886,Premier League,2018/2019,Goalkeeper,Burnley,1710,810,900,England,19,9,10,0,0,0,0,0,0,0,0,4,2,2,34,17,17,0,0,0,0,0,0,0,0,1.79,50,90,0,0,0,367,341,149,16
Joe Powell,Joe-909,22,909705600,36098,Premier League,2018/2019,Forward,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joe Ralls,Joe-750,27,750470400,34255,Premier League,2018/2019,Midfielder,Cardiff City,1959,847,1112,England,28,15,13,0,0,0,0,0,0,0,1,8,5,3,35,17,18,5,1,0,0,0,0,0,0,1.61,56,70,327,0,0.28,336,383,-1,22
Joel Coleman,Joe-812,25,812073600,34968,Premier League,2018/2019,Goalkeeper,Huddersfield Town,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,16
Joel Matip,Joe-681,29,681609600,33458,Premier League,2018/2019,Defender,Liverpool,1532,811,721,Cameroon,22,10,12,1,1,0,0,0,0,0,0,11,6,5,9,5,4,3,0,0.06,0,0.06,0.11,0,1532,0.53,170,70,511,0,0.18,215,286,8,11
Joel Ward,Joe-625,31,625622400,32810,Premier League,2018/2019,Defender,Crystal Palace,551,191,360,England,7,3,4,1,1,0,0,0,0,0,0,0,0,0,12,6,6,1,0,0.16,0,0.16,0.47,0,551,1.96,46,79,551,0,0.16,114,358,159,11
Johann Berg Guðmunds­son,Joh-656,30,656985600,33173,Premier League,2018/2019,Midfielder,Burnley,1748,847,901,Iceland,29,15,14,3,0,3,6,5,1,0,0,6,4,2,31,13,18,2,0,0.46,0.31,0.15,0,0.3,583,1.6,56,60,874,291,0.1,122,18,-1,5
John Ruddy,Joh-530,34,530496000,31709,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,17
John Stones,Joh-770,26,770083200,34482,Premier League,2018/2019,Defender,Manchester City,1762,968,794,England,24,12,12,0,0,0,0,0,0,0,0,13,6,7,15,8,7,1,0,0,0,0,0,0,0,0.77,117,73,1762,0,0.05,309,418,17,17
Jon Gorenc Stankovič,Jon-821,25,821577600,35078,Premier League,2018/2019,Defender,Huddersfield Town,718,218,500,Slovenia,11,3,8,1,0,1,0,0,0,0,0,2,1,1,19,3,16,2,0,0.13,0,0.13,0,0.18,718,2.38,38,65,359,0,0.25,139,291,171,8
Jonas Lössl,Jon-602,32,602294400,32540,Premier League,2018/2019,Goalkeeper,Huddersfield Town,2777,1427,1350,Denmark,31,16,15,0,0,0,1,1,0,0,0,5,3,2,52,22,30,1,0,0.03,0.03,0,0,0,0,1.69,53,90,2777,2777,0.03,333,247,139,25
Jonathan Hogg,Jon-597,32,597369600,32483,Premier League,2018/2019,Midfielder,Huddersfield Town,2377,1294,1083,England,29,16,13,0,0,0,1,1,0,0,0,5,3,2,42,23,19,9,1,0.04,0.04,0,0,0,0,1.59,57,82,238,2377,0.38,330,231,-1,28
